Line,Total_Flux,Total_Luminosity
H1_6562.80A,5.1890462996271346e+42,2.788580587945473e+112
O1_1304.86A,5.13051602590772e+34,1.820114687775638e+90
O1_6300.30A,8.398073690135508e+36,3.0490937177888916e+92
O2_3728.80A,1.445307112602532e+37,8.330111815375801e+92
O2_3726.10A,2.645605229677267e+37,6.064874830293032e+92
O3_1660.81A,7.609348442388442e+35,2.195204855636346e+90
O3_1666.15A,2.2284170286228837e+36,6.428665910647242e+90
O3_4363.21A,8.756333174869698e+35,2.5797590203554217e+90
O3_4958.91A,8.34803986147472e+36,2.7529749038023432e+91
O3_5006.84A,2.4907174062099898e+37,8.213754688812683e+91
He2_1640.41A,1.4254086722599764e+38,1.5444704030496752e+104
C2_1335.66A,4.187354124581641e+35,6.449591731640374e+90
C3_1906.68A,1.3738911794514994e+37,6.617071295103957e+91
